elapsed_s,relative_heading_deg,centered_heading_deg,longitudinal_delta_v_m_s,lateral_delta_v_m_s
187.55,232.25766749999934,213.85901249999927,-256.90456488374934,-316.46544979174985
187.6,232.29883499999931,213.89527499999926,-257.0117515682493,-316.5854586711248
187.65,232.31751999999932,213.90905499999926,-257.1203111837493,-316.7057372333748
187.7,232.30686999999932,213.89349999999925,-257.2234035918743,-316.8200092224998
187.75,232.2843499999993,213.86607499999926,-257.3176700149993,-316.9321482652498
187.8,232.2634624999993,213.84028249999926,-257.41203450462433,-317.05326039274985
187.85,232.2489699999993,213.82088499999927,-257.5095371222493,-317.1816784744998
187.9,232.2352774999993,213.80228749999927,-257.61037400087434,-317.31188626987483
187.95,232.20902999999933,213.77113499999928,-257.7131967261243,-317.4406475843748
188.0,232.16813249999933,213.72533249999927,-257.81160645887434,-317.56555978874985
188.05,232.12448249999932,213.67677749999925,-257.90219538824937,-317.6910113588749
188.1,232.08939499999934,213.63678499999926,-257.98753775987433,-317.8147467652499
188.15,232.06543249999933,213.60791749999925,-258.06689807499936,-317.9284058387499
188.2,232.04398249999934,213.58156249999925,-258.14177184774934,-318.0359847892498
188.25,232.01076999999933,213.54344499999925,-258.22971298162435,-318.14304889062487
188.3,231.96151999999933,213.48928999999924,-258.3255729853744,-318.2428805876249
188.35,231.90939999999935,213.43226499999926,-258.4101553416244,-318.33793154274986
188.4,231.86350499999935,213.38146499999925,-258.4779438097494,-318.43276184824987
188.45,231.84075499999935,213.35380999999927,-258.5260944612494,-318.52805796962485
188.5,231.85913499999936,213.36728499999927,-258.5642668463744,-318.63316074099987
188.55,231.90518999999938,213.4084349999993,-258.6006740344994,-318.7436816864999
188.6,231.98137249999937,213.47971249999927,-258.6332566291244,-318.85930208999986
188.65,232.10586999999938,213.5993049999993,-258.6689528351244,-318.9864207906249
188.7,232.26992499999932,213.75845499999926,-258.7160983049994,-319.11577050412484
188.75,232.45461999999935,213.9382449999993,-258.7607430791244,-319.2416388568749
188.8,232.6646274999994,214.14334749999935,-258.7962676687494,-319.3638787491249
188.85,232.89887499999932,214.37268999999927,-258.8375291486244,-319.4767042573749
188.9,233.12923249999938,214.5981424999993,-258.8797712934994,-319.5850677398749
188.95,233.3441099999993,214.80811499999925,-258.9272845127494,-319.69777066499984
