recording_id,start_s,end_s,Embeddings,Autoencoder,Contrastive,Sequence,Unsupervised,split
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,14.0,24.0,0.09,0.55,0.522,0.542,0.782,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,16.0,26.0,0.028,0.554,0.474,0.574,0.724,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,18.0,28.0,0.076,0.612,0.324,0.652,0.772,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,20.0,30.0,0.228,0.708,0.256,0.984,0.704,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,22.0,32.0,0.512,0.936,0.652,0.992,0.604,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,24.0,34.0,0.983,0.952,0.983,0.978,0.404,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,26.0,36.0,0.958,0.954,0.943,0.974,0.4,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,28.0,38.0,0.956,0.96,0.94,0.972,0.406,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,30.0,40.0,0.103,0.572,0.274,0.59,0.77,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,32.0,42.0,0.145,0.582,0.364,0.566,0.888,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,34.0,44.0,0.158,0.478,0.484,0.512,0.866,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,36.0,46.0,0.154,0.48,0.495,0.51,0.858,train
629d7d57091b71c5c0c2c6f42218702e454b4ae60e20636885741c7c22fe1bb4,38.0,48.0,0.331,0.4,0.356,0.4,0.868,train
